,_id,l_ID,r_ID,l_Album,l_Artist,l_Release Date,r_Album,r_Artist,r_Release Date
40022,40022,a2221,b1332,Ology,Gallant,Apr 6 2016,Ology,Gallant,Apr 6 2016
40114,40114,a2225,b1323,III,Moderat,Apr 1 2016,III,Moderat,Apr 1 2016
40186,40186,a2228,b1320,Everything You've Come to Expect,The Last Shadow Puppets,Apr 1 2016,Everything You've Come to Expect,The Last Shadow Puppets,Apr 1 2016
40217,40217,a2229,b1326,Super,Pet Shop Boys,Apr 1 2016,Super,Pet Shop Boys,Apr 1 2016
40252,40252,a2231,b1311,Azel,Bombino,Apr 1 2016,Azel,Bombino,Apr 1 2016
40297,40297,a2232,b1331,Amen & Goodbye,Yeasayer,Apr 1 2016,Amen & Goodbye,Yeasayer,Apr 1 2016
40304,40304,a2233,b1313,"Bang, Zoom, Crazy... Hello",Cheap Trick,Apr 1 2016,"Bang, Zoom, Crazy... Hello",Cheap Trick,Apr 1 2016
40323,40323,a2234,b1307,Are You Serious,Andrew Bird,Apr 1 2016,Are You Serious,Andrew Bird,Apr 1 2016
40474,40474,a2240,b1308,Pussy's Dead,Autolux,Apr 1 2016,Pussy's Dead,Autolux,Apr 1 2016
40512,40512,a2241,b1321,Empire Builder,Laura Gibson,Apr 1 2016,Empire Builder,Laura Gibson,Apr 1 2016
40526,40526,a2242,b1310,Kentucky,Black Stone Cherry,Apr 1 2016,Kentucky,Black Stone Cherry,Apr 1 2016
40618,40618,a2245,b1327,Stories for Monday,The Summer Set,Apr 1 2016,Stories for Monday,The Summer Set,Apr 1 2016
40663,40663,a2247,b1322,Lukas Graham,Lukas Graham,Apr 1 2016,Lukas Graham,Lukas Graham,Apr 1 2016
40675,40675,a2248,b1309,Metal Resistance,Babymetal,Apr 1 2016,Metal Resistance,Babymetal,Apr 1 2016
41085,41085,a2264,b1319,Bacteria Cult,Kaada/Patton,Apr 1 2016,Bacteria Cult,Kaada/Patton,Apr 1 2016
41177,41177,a2270,b1295,Patch the Sky,Bob Mould,Mar 25 2016,Patch the Sky,Bob Mould,Mar 25 2016
41242,41242,a2274,b1300,Hitch,The Joy Formidable,Mar 25 2016,Hitch,The Joy Formidable,Mar 25 2016
41292,41292,a2277,b1305,Mind of Mine,ZAYN,Mar 25 2016,Mind of Mine,Zayn,Mar 25 2016
41338,41338,a2281,b1291,Jomsviking,Amon Amarth,Mar 25 2016,Jomsviking,Amon Amarth,Mar 25 2016
41415,41415,a2286,b1293,The Black,Asking Alexandria,Mar 25 2016,The Black,Asking Alexandria,Mar 25 2016
41431,41431,a2287,b1294,Beautiful Lies,Birdy,Mar 25 2016,Beautiful Lies,Birdy,Mar 25 2016
41453,41453,a2288,b1301,More Issues Than Vogue,K. Michelle,Mar 25 2016,More Issues Than Vogue,K. Michelle,Mar 25 2016
41500,41500,a2291,b1303,XI,Metal Church,Mar 25 2016,XI,Metal Church,Mar 25 2016
41566,41566,a2297,b1285,Chaosmosis,Primal Scream,Mar 18 2016,Chaosmosis,Primal Scream,Mar 18 2016
41578,41578,a2298,b1284,Girl at the End of the World,James,Mar 18 2016,Girl at the End of the World,James,Mar 18 2016
41608,41608,a2300,b1288,"Barbara Barbara, We Face a Shining Future",Underworld,Mar 18 2016,"Barbara Barbara, We Face a Shining Future",Underworld,Mar 18 2016
41681,41681,a2306,b1283,Post Pop Depression,Iggy Pop,Mar 18 2016,Post Pop Depression,Iggy Pop,Mar 18 2016
41692,41692,a2307,b1281,This Is What the Truth Feels Like,Gwen Stefani,Mar 18 2016,This Is What the Truth Feels Like,Gwen Stefani,Mar 18 2016
42009,42009,a2331,b1275,Incarnate,Killswitch Engage,Mar 11 2016,Incarnate,Killswitch Engage,Mar 11 2016
42029,42029,a2333,b1273,Second Love,Emmy the Great,Mar 11 2016,Second Love,Emmy the Great,Mar 11 2016
42049,42049,a2335,b1271,Painkillers,Brian Fallon,Mar 11 2016,Painkillers,Brian Fallon,Mar 11 2016
42091,42091,a2339,b1269,All My Demons Greeting Me as a Friend,Aurora,Mar 11 2016,All My Demons Greeting Me as a Friend,AURORA,Mar 11 2016
42109,42109,a2340,b1276,Telluric,Matt Corby,Mar 11 2016,Telluric,Matt Corby,Mar 11 2016
42111,42111,a2341,b1267,Us and the Night,3 Doors Down,Mar 11 2016,Us and the Night,3 Doors Down,Mar 11 2016
42275,42275,a2353,b1252,untitled unmastered.,Kendrick Lamar,Mar 4 2016,untitled unmastered.,Kendrick Lamar,Mar 4 2016
42350,42350,a2357,b1255,iii,Miike Snow,Mar 4 2016,iii,Miike Snow,Mar 4 2016
42388,42388,a2359,b1257,United Crushers,Poliça,Mar 4 2016,United Crushers,Poliça,Mar 4 2016
42483,42483,a2364,b1262,A Man Alive,Thao & the Get Down Stay Down,Mar 4 2016,A Man Alive,Thao & the Get Down Stay Down,Mar 4 2016
42504,42504,a2365,b1265,We Can Do Anything,Violent Femmes,Mar 4 2016,We Can Do Anything,Violent Femmes,Mar 4 2016
42529,42529,a2367,b1254,Long Way Home,Låpsley,Mar 4 2016,Long Way Home,Låpsley,Mar 4 2016
42543,42543,a2368,b1250,Emily's D+Evolution,Esperanza Spalding,Mar 4 2016,Emily's D+Evolution,Esperanza Spalding,Mar 4 2016
42574,42574,a2369,b1263,Limitless,Tonight Alive,Mar 4 2016,Limitless,Tonight Alive,Mar 4 2016
42606,42606,a2371,b1259,Ouroboros,Ray LaMontagne,Mar 4 2016,Ouroboros,Ray LaMontagne,Mar 4 2016
43021,43021,a2393,b1229,Dig in Deep,Bonnie Raitt,Feb 26 2016,Dig in Deep,Bonnie Raitt,Feb 26 2016
43053,43053,a2394,b1239,SVIIB,School of Seven Bells,Feb 26 2016,SVIIB,School of Seven Bells,Feb 26 2016
43106,43106,a2397,b1226,For All Kings,Anthrax,Feb 26 2016,For All Kings,Anthrax,Feb 26 2016
43146,43146,a2398,b1244,Stranger Things,Yuck,Feb 26 2016,Stranger Things,Yuck,Feb 26 2016
43255,43255,a2403,b1243,Summertime: Willie Nelson Sings Gershwin,Willie Nelson,Feb 26 2016,Summertime: Willie Nelson Sings Gershwin,Willie Nelson,Feb 26 2016
43356,43356,a2408,b1234,This Unruly Mess I've Made,Macklemore & Ryan Lewis,Feb 26 2016,This Unruly Mess I've Made,Macklemore & Ryan Lewis,Feb 26 2016
43547,43547,a2417,b1227,Anvil Is Anvil,Anvil,Feb 26 2016,Anvil Is Anvil,Anvil,Feb 26 2016
43583,43583,a2418,b1241,Charlene,Tweet,Feb 26 2016,Charlene,Tweet,Feb 26 2016
43616,43616,a2420,b1214,Side Pony,Lake Street Dive,Feb 19 2016,Side Pony,Lake Street Dive,Feb 19 2016
43707,43707,a2426,b1209,Painting With,Animal Collective,Feb 19 2016,Painting With,Animal Collective,Feb 19 2016
43762,43762,a2429,b1216,Livin' on a High Note,Mavis Staples,Feb 19 2016,Livin' on a High Note,Mavis Staples,Feb 19 2016
43847,43847,a2434,b1221,Victorious,Wolfmother,Feb 19 2016,Victorious,Wolfmother,Feb 19 2016
43870,43870,a2436,b1212,Phase,Jack Garratt,Feb 19 2016,Phase,Jack Garratt,Feb 19 2016
43907,43907,a2438,b1217,Need Your Light,Ra Ra Riot,Feb 19 2016,Need Your Light,Ra Ra Riot,Feb 19 2016
43933,43933,a2440,b1211,Banshee,The Cave Singers,Feb 19 2016,Banshee,The Cave Singers,Feb 19 2016
44012,44012,a2445,b1210,In My Mind,BJ the Chicago Kid,Feb 19 2016,In My Mind,BJ the Chicago Kid,Feb 19 2016
44162,44162,a2455,b1195,Synesthetica,Radiation City,Feb 12 2016,Synesthetica,Radiation City,Feb 12 2016
44191,44191,a2457,b1194,Cardinal,Pinegrove,Feb 12 2016,Cardinal,Pinegrove,Feb 12 2016
44219,44219,a2459,b1192,My Wild West,Lissie,Feb 12 2016,My Wild West,Lissie,Feb 12 2016
44258,44258,a2462,b1186,Good Advice,Basia Bulat,Feb 12 2016,Good Advice,Basia Bulat,Feb 12 2016
44361,44361,a2468,b1199,Wynonna & the Big Noise,Wynonna & The Big Noise,Feb 12 2016,Wynonna & the Big Noise,Wynonna & the Big Noise,Feb 12 2016
44476,44476,a2477,b1170,Is the Is Are,DIIV,Feb 5 2016,Is the Is Are,DIIV,Feb 5 2016
44498,44498,a2478,b1173,Commontime,Field Music,Feb 5 2016,Commontime,Field Music,Feb 5 2016
44515,44515,a2479,b1171,Wonderful Crazy Night,Elton John,Feb 5 2016,Wonderful Crazy Night,Elton John,Feb 5 2016
44634,44634,a2485,b1176,Big Black Coat,Junior Boys,Feb 5 2016,Big Black Coat,Junior Boys,Feb 5 2016
44709,44709,a2489,b1175,All I Need,Foxes,Feb 5 2016,All I Need,Foxes,Feb 5 2016
44828,44828,a2495,b1180,Majid Jordan,Majid Jordan,Feb 5 2016,Majid Jordan,Majid Jordan,Feb 5 2016
44890,44890,a2498,b1185,Khalifa,Wiz Khalifa,Feb 5 2016,Khalifa,Wiz Khalifa,Feb 5 2016
44915,44915,a2500,b1172,Opus,Eric Prydz,Feb 5 2016,Opus,Eric Prydz,Feb 5 2016
44940,44940,a2501,b1178,Begin,Lion Babe,Feb 5 2016,Begin,Lion Babe,Feb 5 2016
45014,45014,a2505,b1146,Nine Track Mind,Charlie Puth,Jan 29 2016,Nine Track Mind,Charlie Puth,Jan 29 2016
45063,45063,a2507,b1143,Hymns,Bloc Party,Jan 29 2016,Hymns,Bloc Party,Jan 29 2016
45097,45097,a2508,b1151,Suicide Songs,MONEY,Jan 29 2016,Suicide Songs,Money,Jan 29 2016
45127,45127,a2509,b1155,This Is Acting,Sia,Jan 29 2016,This Is Acting,Sia,Jan 29 2016
45158,45158,a2510,b1160,Don't You,Wet,Jan 29 2016,Don't You,Wet,Jan 29 2016
45202,45202,a2512,b1152,Who Sold My Generation,Night Beats,Jan 29 2016,Who Sold My Generation,Night Beats,Jan 29 2016
45235,45235,a2513,b1159,Lost Property,Turin Brakes,Jan 29 2016,Lost Property,Turin Brakes,Jan 29 2016
45353,45353,a2518,b1147,The Astonishing,Dream Theater,Jan 29 2016,The Astonishing,Dream Theater,Jan 29 2016
45389,45389,a2519,b1157,Let Me Get By,Tedeschi Trucks Band,Jan 29 2016,Let Me Get By,Tedeschi Trucks Band,Jan 29 2016
45424,45424,a2521,b1140,Promise Everything,Basement,Jan 29 2016,Promise Everything,Basement,Jan 29 2016
45537,45537,a2525,b1149,Islah,Kevin Gates,Jan 29 2016,Islah,Kevin Gates,Jan 29 2016
45556,45556,a2526,b1142,Pillars of Ash,Black Tusk,Jan 29 2016,Pillars of Ash,Black Tusk,Jan 29 2016
45596,45596,a2527,b1156,Matter,St. Lucia,Jan 29 2016,Matter,St. Lucia,Jan 29 2016
45758,45758,a2535,b1122,Adore Life,Savages,Jan 22 2016,Adore Life,Savages,Jan 22 2016
45781,45781,a2536,b1114,M:FANS,John Cale,Jan 22 2016,M:FANS,John Cale,Jan 22 2016
45809,45809,a2537,b1111,New View,Eleanor Friedberger,Jan 22 2016,New View,Eleanor Friedberger,Jan 22 2016
45857,45857,a2538,b1128,Night Thoughts,Suede,Jan 22 2016,Night Thoughts,Suede,Jan 22 2016
45893,45893,a2539,b1133,Emotional Mugger,Ty Segall,Jan 22 2016,Emotional Mugger,Ty Segall,Jan 22 2016
45922,45922,a2540,b1131,The Catastrophist,Tortoise,Jan 22 2016,The Catastrophist,Tortoise,Jan 22 2016
45952,45952,a2541,b1130,The Waiting Room,Tindersticks,Jan 22 2016,The Waiting Room,Tindersticks,Jan 22 2016
45958,45958,a2542,b1105,Each Other,Aidan Knight,Jan 22 2016,Each Other,Aidan Knight,Jan 22 2016
46021,46021,a2544,b1106,A Coliseum Complex Museum,The Besnard Lakes,Jan 22 2016,A Coliseum Complex Museum,The Besnard Lakes,Jan 22 2016
46142,46142,a2547,b1134,ATGCLVLSSCAP,Ulver,Jan 22 2016,ATGCLVLSSCAP,Ulver,Jan 22 2016
46149,46149,a2548,b1110,Original Machines,Conrad Keely,Jan 22 2016,Original Machines,Conrad Keely,Jan 22 2016
46187,46187,a2549,b1117,Dystopia,Megadeth,Jan 22 2016,Dystopia,Megadeth,Jan 22 2016
46209,46209,a2550,b1108,Moth,Chairlift,Jan 22 2016,Moth,Chairlift,Jan 22 2016
46419,46419,a2556,b1132,Skilled Mechanics,Tricky,Jan 22 2016,Skilled Mechanics,Tricky,Jan 22 2016
46484,46484,a2559,b1104,Something About April II,Adrian Younge,Jan 22 2016,Something About April II,Adrian Younge,Jan 22 2016
46679,46679,a2565,b1113,Perfect,Half Japanese,Jan 22 2016,Perfect,Half Japanese,Jan 22 2016
46881,46881,a2573,b1098,Death of a Bachelor,Panic! At the Disco,Jan 15 2016,Death of a Bachelor,Panic! at the Disco,Jan 15 2016
46907,46907,a2575,b1094,Not to Disappear,Daughter,Jan 15 2016,Not to Disappear,Daughter,Jan 15 2016
46961,46961,a2579,b1088,Malibu,Anderson Paak,Jan 15 2016,Malibu,Anderson .Paak,Jan 15 2016
47024,47024,a2583,b1091,Pawn Shop,Brothers Osborne,Jan 15 2016,Pawn Shop,Brothers Osborne,Jan 15 2016
47049,47049,a2584,b1101,Anarchytecture,Skunk Anansie,Jan 15 2016,Anarchytecture,Skunk Anansie,Jan 15 2016
47104,47104,a2588,b1096,It's About Time,"Hank Williams, Jr.",Jan 15 2016,It's About Time,"Hank Williams, Jr.",Jan 15 2016
47111,47111,a2589,b1081,Blackstar,David Bowie,Jan 8 2016,Blackstar,David Bowie,Jan 8 2016
47119,47119,a2590,b1082,Leave Me Alone,Hinds,Jan 8 2016,Leave Me Alone,Hinds,Jan 8 2016
47131,47131,a2591,b1087,Where Have You Been All My Life?,Villagers,Jan 8 2016,Where Have You Been All My Life?,Villagers,Jan 8 2016
47140,47140,a2593,b1079,Wildfire,Rachel Platten,Jan 1 2016,Wildfire,Rachel Platten,Jan 1 2016
47141,47141,a2594,b1078,In My Feelings (Goin' Thru It),Boosie Badazz,Jan 1 2016,In My Feelings (Goin' Thru It),Boosie Badazz,Jan 1 2016
47154,47154,a2596,b1067,Purple,Baroness,Dec 18 2015,Purple,Baroness,Dec 18 2015
47176,47176,a2598,b1069,Tell Me I'm Pretty,Cage the Elephant,Dec 18 2015,Tell Me I'm Pretty,Cage the Elephant,Dec 18 2015
47197,47197,a2600,b1070,Royalty,Chris Brown,Dec 18 2015,Royalty,Chris Brown,Dec 18 2015
47242,47242,a2607,b1063,The Buffet,R. Kelly,Dec 11 2015,The Buffet,R. Kelly,Dec 11 2015
47287,47287,a2615,b1048,A Head Full of Dreams,Coldplay,Dec 4 2015,A Head Full of Dreams,Coldplay,Dec 4 2015
47310,47310,a2617,b1047,Return of the Tender Lover,Babyface,Dec 4 2015,Return of the Tender Lover,Babyface,Dec 4 2015
47354,47354,a2620,b1055,Black Market,Rick Ross,Dec 4 2015,Black Market,Rick Ross,Dec 4 2015
47373,47373,a2622,b1050,When It's Dark Out,G-Eazy,Dec 4 2015,When It's Dark Out,G-Eazy,Dec 4 2015
47405,47405,a2624,b1058,Blue Neighbourhood,Troye Sivan,Dec 4 2015,Blue Neighbourhood,Troye Sivan,Dec 4 2015
47450,47450,a2632,b1042,Skeletons,Danzig,Nov 27 2015,Skeletons,Danzig,Nov 27 2015
47512,47512,a2644,b1029,25,Adele,Nov 20 2015,25,Adele,Nov 20 2015
47523,47523,a2645,b1032,Shadow of a Doubt,Freddie Gibbs,Nov 20 2015,Shadow of a Doubt,Freddie Gibbs,Nov 20 2015
47546,47546,a2648,b1031,Dark Sky Island,Enya,Nov 20 2015,Dark Sky Island,Enya,Nov 20 2015
47663,47663,a2659,b1014,Alone in the Universe,Jeff Lynne's ELO,Nov 13 2015,Alone in the Universe,Jeff Lynne's ELO,Nov 13 2015
47772,47772,a2664,b1023,Garden of Delete,Oneohtrix Point Never,Nov 13 2015,Garden of Delete,Oneohtrix Point Never,Nov 13 2015
47811,47811,a2666,b1022,Made in the A.M.,One Direction,Nov 13 2015,Made in the A.M.,One Direction,Nov 13 2015
47825,47825,a2667,b1016,Purpose,Justin Bieber,Nov 13 2015,Purpose,Justin Bieber,Nov 13 2015
47895,47895,a2670,b1026,Free TC,Ty Dolla $ign,Nov 13 2015,Free TC,Ty Dolla $ign,Nov 13 2015
47901,47901,a2671,b1012,First Comes the Night,Chris Isaak,Nov 13 2015,First Comes the Night,Chris Isaak,Nov 13 2015
47957,47957,a2674,b1008,The Miraculous,Anna von Hausswolff,Nov 13 2015,The Miraculous,Anna von Hausswolff,Nov 13 2015
48067,48067,a2679,b1018,Kylie Christmas,Kylie Minogue,Nov 13 2015,Kylie Christmas,Kylie Minogue,Nov 13 2015
48089,48089,a2680,b1020,The Incredible True Story,Logic,Nov 13 2015,The Incredible True Story,Logic,Nov 13 2015
48364,48364,a2694,b986,Perfectamundo,Billy Gibbons & the BFG's,Nov 6 2015,Perfectamundo,Billy Gibbons and the BFG's,Nov 6 2015
48441,48441,a2697,b997,Nothing,Kode9,Nov 6 2015,Nothing,Kode9,Nov 6 2015
48460,48460,a2698,b994,Making Time,Jamie Woon,Nov 6 2015,Making Time,Jamie Woon,Nov 6 2015
48501,48501,a2700,b991,Delirium,Ellie Goulding,Nov 6 2015,Delirium,Ellie Goulding,Nov 6 2015
48532,48532,a2701,b1000,Get Weird,Little Mix,Nov 6 2015,Get Weird,Little Mix,Nov 6 2015
48608,48608,a2705,b988,Vulnicura Strings,Björk,Nov 6 2015,Vulnicura Strings,Björk,Nov 6 2015
48660,48660,a2707,b996,One,Kate Boy,Nov 6 2015,One,Kate Boy,Nov 6 2015
48691,48691,a2708,b1005,Damn Country Music,Tim McGraw,Nov 6 2015,Damn Country Music,Tim McGraw,Nov 6 2015
48780,48780,a2714,b983,Mr. Misunderstood,Eric Church,Nov 3 2015,Mr. Misunderstood,Eric Church,Nov 3 2015
48793,48793,a2716,b977,Money Shot,Puscifer,Oct 30 2015,Money Shot,Puscifer,Oct 30 2015
48893,48893,a2723,b979,So Familiar,Steve Martin,Oct 30 2015,So Familiar,Steve Martin & Edie Brickell,Oct 30 2015
49099,49099,a2738,b975,Wiped Out!,The Neighbourhood,Oct 30 2015,Wiped Out!,The Neighbourhood,Oct 30 2015
49219,49219,a2747,b969,Def Leppard,Def Leppard,Oct 30 2015,Def Leppard,Def Leppard,Oct 30 2015
49389,49389,a2759,b958,Divers,Joanna Newsom,Oct 23 2015,Divers,Joanna Newsom,Oct 23 2015
49405,49405,a2760,b961,Central Belters,Mogwai,Oct 23 2015,Central Belters,Mogwai,Oct 23 2015
49424,49424,a2762,b954,Storyteller,Carrie Underwood,Oct 23 2015,Storyteller,Carrie Underwood,Oct 23 2015
49462,49462,a2765,b953,Sounds Good Feels Good,5 Seconds of Summer,Oct 23 2015,Sounds Good Feels Good,5 Seconds of Summer,Oct 23 2015
49499,49499,a2767,b964,Another Country,Rod Stewart,Oct 23 2015,Another Country,Rod Stewart,Oct 23 2015
49524,49524,a2769,b963,Pray for Rain,Pure Bathing Culture,Oct 23 2015,Pray for Rain,Pure Bathing Culture,Oct 23 2015
49530,49530,a2770,b956,Angels & Ghosts,Dave Gahan & the Soulsavers,Oct 23 2015,Angels & Ghosts,Dave Gahan & Soulsavers,Oct 23 2015
49552,49552,a2771,b965,Liberman,Vanessa Carlton,Oct 23 2015,Liberman,Vanessa Carlton,Oct 23 2015
49610,49610,a2776,b941,Fading Frontier,Deerhunter,Oct 16 2015,Fading Frontier,Deerhunter,Oct 16 2015
49623,49623,a2777,b940,The Color Before the Sun,Coheed and Cambria,Oct 16 2015,The Color Before the Sun,Coheed and Cambria,Oct 16 2015
49700,49700,a2782,b947,VEGA INTL. Night School,Neon Indian,Oct 16 2015,VEGA INTL. Night School,Neon Indian,Oct 16 2015
49723,49723,a2784,b942,Confident,Demi Lovato,Oct 16 2015,Confident,Demi Lovato,Oct 16 2015
49934,49934,a2799,b943,The Documentary 2.5,The Game,Oct 16 2015,The Documentary 2.5,The Game,Oct 16 2015
50244,50244,a2821,b930,The Agent Intellect,Protomartyr,Oct 9 2015,The Agent Intellect,Protomartyr,Oct 9 2015
50270,50270,a2823,b928,Surrender,Hurts,Oct 9 2015,Surrender,Hurts,Oct 9 2015
50294,50294,a2825,b924,If I Should Go Before You,City and Colour,Oct 9 2015,If I Should Go Before You,City and Colour,Oct 9 2015
50333,50333,a2827,b935,35 MPH Town,Toby Keith,Oct 9 2015,35 MPH Town,Toby Keith,Oct 9 2015
50345,50345,a2828,b933,Revival,Selena Gomez,Oct 9 2015,Revival,Selena Gomez,Oct 9 2015
50422,50422,a2834,b926,The Documentary 2,The Game,Oct 9 2015,The Documentary 2,The Game,Oct 9 2015
50485,50485,a2838,b913,In Dream,Editors,Oct 2 2015,In Dream,Editors,Oct 2 2015
50583,50583,a2843,b911,New Bermuda,Deafheaven,Oct 2 2015,New Bermuda,Deafheaven,Oct 2 2015
50624,50624,a2845,b912,Zipper Down,Eagles of Death Metal,Oct 2 2015,Zipper Down,Eagles of Death Metal,Oct 2 2015
50646,50646,a2846,b914,Unbreakable,Janet Jackson,Oct 2 2015,Unbreakable,Janet Jackson,Oct 2 2015
50775,50775,a2853,b903,Stories,Avicii,Oct 2 2015,Stories,Avicii,Oct 2 2015
50796,50796,a2854,b904,All Across This Land,Blitzen Trapper,Oct 2 2015,All Across This Land,Blitzen Trapper,Oct 2 2015
50913,50913,a2859,b921,Silence in the Snow,Trivium,Oct 2 2015,Silence in the Snow,Trivium,Oct 2 2015
51020,51020,a2865,b908,Psychic Warfare,Clutch,Oct 2 2015,Psychic Warfare,Clutch,Oct 2 2015
51059,51059,a2867,b907,I Worship Chaos,Children of Bodom,Oct 2 2015,I Worship Chaos,Children of Bodom,Oct 2 2015
